参数名,数值,单位,情景,来源或假设
employment_rate,0.963,比例,低,1−失业率3.7%；失业率约3.7%[citation:7]
mpf_coverage_rate,0.85,比例,低,[假设] 就业人口强积金覆盖约85%（豁免职业计划/短期外籍雇员等）
relevant_income_min_monthly,7100.0,港元/月,低,强积金条例有关入息下限；可替换接口
relevant_income_max_monthly,30000.0,港元/月,低,强积金条例有关入息上限；可替换接口
avg_relevant_income_2026,21500.0,港元/月,低,"缴费人平均有关入息；参考2025Q3中位数约20,500并校准至2025总供款≈907亿[假设]"
nominal_wage_growth,0.019999999999999997,年率,低,基准约3%=通胀+实际工资[假设]；本情景冲击后=2%
lfpr_level_shock,-0.02,百分点(小数),低,乐观+2pp / 悲观−2pp / 基准0
voluntary_share_of_total,0.255,比例,低,2025Q4约25%、2025-26财年约26%[citation:2][citation:8]；取25.5%
pi_low_income_share,0.06,比例,低,[假设] 月入低于下限的缴费人占比
lfpr_both_15-19,0.18,比例,低,政府统计处表230-28001量级/用户给定2026关键值；15-19·20-24为[假设]补全
lfpr_both_20-24,0.62,比例,低,政府统计处表230-28001量级/用户给定2026关键值；15-19·20-24为[假设]补全
lfpr_both_25-29,0.895,比例,低,政府统计处表230-28001量级/用户给定2026关键值；15-19·20-24为[假设]补全
lfpr_both_30-34,0.889,比例,低,政府统计处表230-28001量级/用户给定2026关键值；15-19·20-24为[假设]补全
lfpr_both_35-39,0.86,比例,低,政府统计处表230-28001量级/用户给定2026关键值；15-19·20-24为[假设]补全
lfpr_both_40-44,0.832,比例,低,政府统计处表230-28001量级/用户给定2026关键值；15-19·20-24为[假设]补全
lfpr_both_45-49,0.82,比例,低,政府统计处表230-28001量级/用户给定2026关键值；15-19·20-24为[假设]补全
lfpr_both_50-54,0.797,比例,低,政府统计处表230-28001量级/用户给定2026关键值；15-19·20-24为[假设]补全
lfpr_both_55-59,0.701,比例,低,政府统计处表230-28001量级/用户给定2026关键值；15-19·20-24为[假设]补全
lfpr_both_60-64,0.508,比例,低,政府统计处表230-28001量级/用户给定2026关键值；15-19·20-24为[假设]补全
employment_rate,0.963,比例,中,1−失业率3.7%；失业率约3.7%[citation:7]
mpf_coverage_rate,0.85,比例,中,[假设] 就业人口强积金覆盖约85%（豁免职业计划/短期外籍雇员等）
relevant_income_min_monthly,7100.0,港元/月,中,强积金条例有关入息下限；可替换接口
relevant_income_max_monthly,30000.0,港元/月,中,强积金条例有关入息上限；可替换接口
avg_relevant_income_2026,21500.0,港元/月,中,"缴费人平均有关入息；参考2025Q3中位数约20,500并校准至2025总供款≈907亿[假设]"
