性别,回报情景,年金化比例,终身地板_年收入_港元,地板覆盖目标_pct,相对0%年金_地板覆盖提升_pp,账户耗尽年龄,MC长寿缺口发生率_收入归零,相对0%_缺口发生率下降_pp,目标支出充足性缺口_地板不足,权衡,相对0%_终身保障提升说明
男,保守,0.0,0.0,0.0,0.0,73.06,0.9995,0.0,0.9995,年金化解决长寿风险，但降低流动性,地板覆盖 +0.0pp；收入归零风险 −0.0pp
男,保守,0.25,49354.41,12.3,12.3,71.77,0.0,99.95,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +12.3pp；收入归零风险 −99.95pp
男,保守,0.5,98708.81,24.6,24.6,70.13,0.0,99.95,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +24.6pp；收入归零风险 −99.95pp
男,保守,0.75,148063.22,36.9,36.9,67.97,0.0,99.95,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +36.9pp；收入归零风险 −99.95pp
男,保守,1.0,197417.62,49.2,49.2,∞（或不适用）,0.0,99.95,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +49.2pp；收入归零风险 −99.95pp
男,基准,0.0,0.0,0.0,0.0,77.9,0.878,0.0,0.878,年金化解决长寿风险，但降低流动性,地板覆盖 +0.0pp；收入归零风险 −0.0pp
男,基准,0.25,73793.58,18.39,18.39,76.66,0.0,87.8,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +18.39pp；收入归零风险 −87.8pp
男,基准,0.5,147587.16,36.78,36.78,74.77,0.0,87.8,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +36.78pp；收入归零风险 −87.8pp
男,基准,0.75,221380.74,55.18,55.18,71.59,0.0,87.8,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +55.18pp；收入归零风险 −87.8pp
男,基准,1.0,295174.32,73.57,73.57,∞（或不适用）,0.0,87.8,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +73.57pp；收入归零风险 −87.8pp
男,乐观,0.0,0.0,0.0,0.0,89.32,0.0825,0.0,0.0825,年金化解决长寿风险，但降低流动性,地板覆盖 +0.0pp；收入归零风险 −0.0pp
男,乐观,0.25,119287.3,29.73,29.73,91.8,0.0,8.25,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +29.73pp；收入归零风险 −8.25pp
男,乐观,0.5,238574.6,59.46,59.46,98.84,0.0,8.25,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +59.46pp；收入归零风险 −8.25pp
男,乐观,0.75,357861.9,89.19,89.19,145.0,0.0,8.25,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +89.19pp；收入归零风险 −8.25pp
男,乐观,1.0,477149.2,118.92,118.92,∞（或不适用）,0.0,8.25,0.0,年金化解决长寿风险，但降低流动性,地板覆盖 +118.92pp；收入归零风险 −8.25pp
女,保守,0.0,0.0,0.0,0.0,73.06,1.0,0.0,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +0.0pp；收入归零风险 −0.0pp
女,保守,0.25,45099.72,11.24,11.24,71.68,0.0,100.0,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +11.24pp；收入归零风险 −100.0pp
女,保守,0.5,90199.43,22.48,22.48,69.98,0.0,100.0,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +22.48pp；收入归零风险 −100.0pp
女,保守,0.75,135299.15,33.72,33.72,67.82,0.0,100.0,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +33.72pp；收入归零风险 −100.0pp
女,保守,1.0,180398.86,44.96,44.96,∞（或不适用）,0.0,100.0,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +44.96pp；收入归零风险 −100.0pp
女,基准,0.0,0.0,0.0,0.0,77.9,0.9915,0.0,0.9915,年金化解决长寿风险，但降低流动性,地板覆盖 +0.0pp；收入归零风险 −0.0pp
女,基准,0.25,67432.06,16.81,16.81,76.39,0.0,99.15,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +16.81pp；收入归零风险 −99.15pp
女,基准,0.5,134864.13,33.61,33.61,74.23,0.0,99.15,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +33.61pp；收入归零风险 −99.15pp
女,基准,0.75,202296.19,50.42,50.42,70.9,0.0,99.15,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +50.42pp；收入归零风险 −99.15pp
女,基准,1.0,269728.26,67.23,67.23,∞（或不适用）,0.0,99.15,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +67.23pp；收入归零风险 −99.15pp
女,乐观,0.0,0.0,0.0,0.0,89.32,0.441,0.0,0.441,年金化解决长寿风险，但降低流动性,地板覆盖 +0.0pp；收入归零风险 −0.0pp
女,乐观,0.25,109003.91,27.17,27.17,90.39,0.0,44.1,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +27.17pp；收入归零风险 −44.1pp
女,乐观,0.5,218007.83,54.33,54.33,92.87,0.0,44.1,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +54.33pp；收入归零风险 −44.1pp
女,乐观,0.75,327011.74,81.5,81.5,104.93,0.0,44.1,1.0,年金化解决长寿风险，但降低流动性,地板覆盖 +81.5pp；收入归零风险 −44.1pp
女,乐观,1.0,436015.65,108.67,108.67,∞（或不适用）,0.0,44.1,0.0,年金化解决长寿风险，但降低流动性,地板覆盖 +108.67pp；收入归零风险 −44.1pp
