参数名,数值,单位,来源或假设,年份,情景,真实或假设
mpf_aum_total,16700,亿港元,公开锚点：强积金总资产约1.67万亿港元,2026,中,真实锚点
mpf_account_count,1100,万个,公开锚点：账户总数约1100万,2026,中,真实锚点
employer_contrib_rate,5,%,强积金条例：雇主强制性供款比例,2026,中,真实
employee_contrib_rate,5,%,强积金条例：雇员强制性供款比例,2026,中,真实
relevant_income_min_monthly,7100,港元/月,有关入息下限,2026,中,真实
relevant_income_max_monthly,30000,港元/月,有关入息上限,2026,中,真实
life_expectancy_male,83.3,岁,香港男性预期寿命,2026,中,真实锚点
life_expectancy_female,88.7,岁,香港女性预期寿命,2026,中,真实锚点
labour_force,400,万人,[假设] 约400万劳动人口，量级贴近香港劳动人口统计,2026,中,[假设]
labour_force_participation_rate,58,%,[假设] 整体劳动参与率；分年龄参与率见建模扩展,2026,中,[假设]
employment_rate,97,%,[假设] 就业人数/劳动人口，对应低失业率情景,2026,中,[假设]
median_monthly_income,20000,港元/月,[假设] 全职入息中位数量级，落在7100-30000有关入息带内,2026,中,[假设]
contributing_members,280,万人,[假设] 当年有强制性供款的成员；须 < 劳动人口(400万)，且与账户数(含多账户/闲置)自洽,2026,中,[假设]
accounts_per_active_member,1.8,个/人,[假设] 由1100万账户 / ~600万曾参与成员量级推得；活跃缴费人账户集中度更高,2026,中,[假设]
avg_relevant_income_active,18500,港元/月,[假设] 缴费人平均有关入息（截断于上下限后），略低于全职中位数因兼职/低薪结构,2026,中,[假设]
annual_mandatory_inflow_2026,621.6,亿港元,[假设]≈280万×1.85万×12×10%/1e8；供后续闭合校验,2026,中,[假设]推算
system_net_return_mid,4.6,%,[假设] 按资产配置加权的系统年率化净回报中枢,2026,中,[假设]
retire_age_norm,65,岁,[假设] 提取行为建模的常态退休年龄（法定提取条件更广，此处简化）,2026,中,[假设]
avg_withdrawal_ratio_at_retire,0.35,比例,[假设] 退休当年平均提取占个人账户余额比例（其余延期/分期）,2026,中,[假设]
labour_force,380,万人,[假设] 约400万劳动人口，量级贴近香港劳动人口统计 | 低档,2026,低,[假设]
labour_force,420,万人,[假设] 约400万劳动人口，量级贴近香港劳动人口统计 | 高档,2026,高,[假设]
labour_force_participation_rate,57,%,[假设] 整体劳动参与率；分年龄参与率见建模扩展 | 低档,2026,低,[假设]
labour_force_participation_rate,59,%,[假设] 整体劳动参与率；分年龄参与率见建模扩展 | 高档,2026,高,[假设]
employment_rate,96,%,[假设] 就业人数/劳动人口，对应低失业率情景 | 低档,2026,低,[假设]
employment_rate,98,%,[假设] 就业人数/劳动人口，对应低失业率情景 | 高档,2026,高,[假设]
median_monthly_income,17000,港元/月,[假设] 全职入息中位数量级，落在7100-30000有关入息带内 | 低档,2026,低,[假设]
median_monthly_income,23000,港元/月,[假设] 全职入息中位数量级，落在7100-30000有关入息带内 | 高档,2026,高,[假设]
contributing_members,250,万人,[假设] 当年有强制性供款的成员；须 < 劳动人口(400万)，且与账户数(含多账户/闲置)自洽 | 低档,2026,低,[假设]
contributing_members,310,万人,[假设] 当年有强制性供款的成员；须 < 劳动人口(400万)，且与账户数(含多账户/闲置)自洽 | 高档,2026,高,[假设]
accounts_per_active_member,1.62,个/人,[假设] 由1100万账户 / ~600万曾参与成员量级推得；活跃缴费人账户集中度更高 | 低档,2026,低,[假设]
accounts_per_active_member,1.98,个/人,[假设] 由1100万账户 / ~600万曾参与成员量级推得；活跃缴费人账户集中度更高 | 高档,2026,高,[假设]
avg_relevant_income_active,16000,港元/月,[假设] 缴费人平均有关入息（截断于上下限后），略低于全职中位数因兼职/低薪结构 | 低档,2026,低,[假设]
avg_relevant_income_active,21000,港元/月,[假设] 缴费人平均有关入息（截断于上下限后），略低于全职中位数因兼职/低薪结构 | 高档,2026,高,[假设]
annual_mandatory_inflow_2026,528.4,亿港元,[假设]≈280万×1.85万×12×10%/1e8；供后续闭合校验 | 低档,2026,低,[假设]推算
annual_mandatory_inflow_2026,714.8,亿港元,[假设]≈280万×1.85万×12×10%/1e8；供后续闭合校验 | 高档,2026,高,[假设]推算
system_net_return_mid,3.91,%,[假设] 按资产配置加权的系统年率化净回报中枢 | 低档,2026,低,[假设]
system_net_return_mid,5.29,%,[假设] 按资产配置加权的系统年率化净回报中枢 | 高档,2026,高,[假设]
retire_age_norm,58,岁,[假设] 提取行为建模的常态退休年龄（法定提取条件更广，此处简化） | 低档,2026,低,[假设]
retire_age_norm,71,岁,[假设] 提取行为建模的常态退休年龄（法定提取条件更广，此处简化） | 高档,2026,高,[假设]
avg_withdrawal_ratio_at_retire,0.2975,比例,[假设] 退休当年平均提取占个人账户余额比例（其余延期/分期） | 低档,2026,低,[假设]
avg_withdrawal_ratio_at_retire,0.4025,比例,[假设] 退休当年平均提取占个人账户余额比例（其余延期/分期） | 高档,2026,高,[假设]
